device_id,model_id,model_sha256,architecture,quantization,runtime,requested_delegate,effective_delegate,threads,trial_id,observation_count,latency_min_ms,latency_max_ms,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_sd_ms,latency_cv,throughput_images_per_s,process_pss_median_mb,process_rss_median_mb,battery_temperature_start_c,battery_temperature_end_c,battery_temperature_max_c
realme_RMX3760_api35,efficientnet_b0_full_int8,bf768dda79fe589885aa9c79820a478236c331901a921dec3f8de87c8219a214,efficientnet_b0,full_int8,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,1,2,100,158.927,232.425,181.16938999999994,178.9155,196.12730000000002,197.74915,212.26563000000013,13.49929080284209,0.0745119846285407,5.519696235661004,700.3408203125,589.052734375,43.9,43.9,43.9
realme_RMX3760_api35,efficientnet_b0_full_int8,bf768dda79fe589885aa9c79820a478236c331901a921dec3f8de87c8219a214,efficientnet_b0,full_int8,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,2,1,100,160.427,247.329,186.84317,187.997,197.6077,208.3368,234.83322000000007,13.279024787771219,0.0710704318909341,5.352082176726075,520.59521484375,571.86328125,41.8,41.8,41.8
realme_RMX3760_api35,efficientnet_b0_full_int8,bf768dda79fe589885aa9c79820a478236c331901a921dec3f8de87c8219a214,efficientnet_b0,full_int8,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,2,2,100,159.865,238.452,183.71853999999996,187.824,196.97940000000003,206.49035,216.7700100000001,14.608879209784048,0.07951771884200719,5.443108790217908,823.6865234375,472.36328125,44.6,44.7,44.7
realme_RMX3760_api35,efficientnet_b0_full_int8,bf768dda79fe589885aa9c79820a478236c331901a921dec3f8de87c8219a214,efficientnet_b0,full_int8,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,4,1,100,160.849,293.683,186.07107999999997,185.8125,195.9468,201.02745,269.13397000000015,17.05349276685251,0.09165042072552335,5.374290298094686,360.9296875,456.580078125,45.8,46.1,46.1
realme_RMX3760_api35,efficientnet_b0_full_int8,bf768dda79fe589885aa9c79820a478236c331901a921dec3f8de87c8219a214,efficientnet_b0,full_int8,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,4,2,100,158.654,217.545,185.62294000000003,189.299,197.34570000000002,200.5237,210.68826000000004,12.336146559430848,0.06645809273051513,5.38726517315155,830.7490234375,479.326171875,44.7,44.6,44.8
realme_RMX3760_api35,mobilenet_v2_dynamic_int8,97e33bb8b77f611d54bdce32a39c325b54b8d1d0b5a6d401adea5c5bbb182b8f,mobilenet_v2,dynamic_int8,builtin_cpu,none,none_builtin,1,1,100,360.076,483.829,391.36812000000003,390.3215,408.1825,415.22995,432.11239000000023,16.12593865925392,0.041204016973211605,2.5551391360134286,244.0712890625,354.2578125,44.2,44.4,44.4
realme_RMX3760_api35,mobilenet_v2_dynamic_int8,97e33bb8b77f611d54bdce32a39c325b54b8d1d0b5a6d401adea5c5bbb182b8f,mobilenet_v2,dynamic_int8,builtin_cpu,none,none_builtin,1,2,100,367.384,449.385,393.44047,394.087,405.974,409.32245,440.1245400000001,13.143968956459988,0.03340777057444037,2.5416805749545794,812.4404296875,564.46875,44.0,43.9,44.0
realme_RMX3760_api35,mobilenet_v2_dynamic_int8,97e33bb8b77f611d54bdce32a39c325b54b8d1d0b5a6d401adea5c5bbb182b8f,mobilenet_v2,dynamic_int8,builtin_cpu,none,none_builtin,2,1,100,353.88,510.522,392.90805,390.31100000000004,405.3693,443.68379999999996,510.23688,24.53524512288188,0.06244525945162457,2.545124743562775,479.6484375,563.83203125,43.8,43.7,43.8
realme_RMX3760_api35,mobilenet_v2_dynamic_int8,97e33bb8b77f611d54bdce32a39c325b54b8d1d0b5a6d401adea5c5bbb182b8f,mobilenet_v2,dynamic_int8,builtin_cpu,none,none_builtin,2,2,100,365.136,447.073,389.88299,390.98199999999997,406.0865,408.405,414.8277100000002,13.31476672265372,0.03415067357171371,2.564872091495964,796.28515625,551.013671875,44.0,43.9,44.0
realme_RMX3760_api35,mobilenet_v2_dynamic_int8,97e33bb8b77f611d54bdce32a39c325b54b8d1d0b5a6d401adea5c5bbb182b8f,mobilenet_v2,dynamic_int8,builtin_cpu,none,none_builtin,4,1,100,358.983,512.983,393.12343,391.10699999999997,414.3645,420.80675,454.3383700000003,21.15157685420387,0.05380390798432917,2.543730349524067,540.546875,591.125,42.3,42.3,42.4
realme_RMX3760_api35,mobilenet_v2_dynamic_int8,97e33bb8b77f611d54bdce32a39c325b54b8d1d0b5a6d401adea5c5bbb182b8f,mobilenet_v2,dynamic_int8,builtin_cpu,none,none_builtin,4,2,100,358.632,433.986,394.38294,393.113,414.9076,421.22845,428.25786,16.244695239077434,0.04119015705668565,2.5356066365345313,727.330078125,603.423828125,44.0,43.9,44.0
realme_RMX3760_api35,mobilenet_v2_dynamic_int8,97e33bb8b77f611d54bdce32a39c325b54b8d1d0b5a6d401adea5c5bbb182b8f,mobilenet_v2,dynamic_int8,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,1,1,100,353.234,490.157,387.4964,387.65549999999996,402.5815,404.3655,410.7738500000004,16.48905111664321,0.042552785307536305,2.580669136539075,504.20556640625,587.90625,41.1,41.1,41.1
realme_RMX3760_api35,mobilenet_v2_dynamic_int8,97e33bb8b77f611d54bdce32a39c325b54b8d1d0b5a6d401adea5c5bbb182b8f,mobilenet_v2,dynamic_int8,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,1,2,100,352.471,518.843,395.04699,392.428,408.8491,419.5473999999999,504.2870300000001,23.785777824937167,0.06020999634736406,2.5313444357594017,783.8251953125,613.953125,44.0,44.0,44.1
realme_RMX3760_api35,mobilenet_v2_dynamic_int8,97e33bb8b77f611d54bdce32a39c325b54b8d1d0b5a6d401adea5c5bbb182b8f,mobilenet_v2,dynamic_int8,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,2,1,100,363.65,417.658,392.08627,395.2065,405.17820000000006,408.60005,414.56227,12.509262034330218,0.031904361339483316,2.5504591119704343,345.619140625,451.22265625,45.6,45.6,45.6
realme_RMX3760_api35,mobilenet_v2_dynamic_int8,97e33bb8b77f611d54bdce32a39c325b54b8d1d0b5a6d401adea5c5bbb182b8f,mobilenet_v2,dynamic_int8,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,2,2,100,345.886,488.893,394.36756,394.8615,410.7047,419.69045,445.89532000000025,18.281415246101822,0.04635628560853692,2.5357055230404852,677.56787109375,567.228515625,43.8,43.8,43.8
realme_RMX3760_api35,mobilenet_v2_dynamic_int8,97e33bb8b77f611d54bdce32a39c325b54b8d1d0b5a6d401adea5c5bbb182b8f,mobilenet_v2,dynamic_int8,xnnpack_cpu,xnnpack,xnnpack_initialized_partition_unverified,4,1,100,372.159,521.283,405.9124700000001,404.94849999999997,420.0502,426.2489,487.10127000000017,20.802209527387063,0.05124801789752125,2.463585314341291,429.3349609375,512.6015625,45.1,44.9,45.1
