configuration_id,architecture,quantization,runtime,threads,trial_median_mean_ms,trial_median_sd_ms,trial_median_cv,trial_median_bootstrap95_low_ms,trial_median_bootstrap95_high_ms,trial_p95_mean_ms,trial_p95_sd_ms,trial_p95_bootstrap95_low_ms,trial_p95_bootstrap95_high_ms,trial_throughput_mean_images_per_s,trial_throughput_sd_images_per_s,observation_count
mobilenet_v2_float32__xnnpack_cpu__4t,mobilenet_v2,float32,xnnpack_cpu,4,399.114,0.6427600640985659,0.0016104673454165,398.6595,399.5685,421.704925,1.534810623904495,420.61965,422.7902,2.499530983421132,0.019474393998076,200
mobilenet_v2_full_int8__builtin_cpu__1t,mobilenet_v2,full_int8,builtin_cpu,1,194.13725,3.5959915357242047,0.0185229343452851,191.5945,196.68,207.952775,6.689265505363776,203.22275,212.6828,5.159078052130827,0.0600076572282401,200
mobilenet_v2_full_int8__builtin_cpu__2t,mobilenet_v2,full_int8,builtin_cpu,2,196.41025,0.2888531201146871,0.0014706621477987,196.206,196.6145,218.663625,8.386746044280219,212.7333,224.59395,5.115419239909516,0.0358894552426024,200
mobilenet_v2_full_int8__builtin_cpu__4t,mobilenet_v2,full_int8,builtin_cpu,4,170.85075,1.2809239341194476,0.0074973269600481,169.945,171.75650000000002,187.677475,4.5821580081060125,184.4374,190.91755,5.881544191897168,0.0492412020138175,200
mobilenet_v2_full_int8__xnnpack_cpu__1t,mobilenet_v2,full_int8,xnnpack_cpu,1,163.90699999999998,5.552202445876774,0.0338741020571224,159.981,167.833,182.271925,10.018394941868202,175.18785,189.356,6.116519828005642,0.1186895805744105,200
mobilenet_v2_full_int8__xnnpack_cpu__2t,mobilenet_v2,full_int8,xnnpack_cpu,2,166.43574999999998,1.1112183066346497,0.0066765602139843,165.65,167.2215,181.49415,0.8896110414107846,180.8651,182.1232,6.0373072029816095,0.0921716537866949,200
mobilenet_v2_full_int8__xnnpack_cpu__4t,mobilenet_v2,full_int8,xnnpack_cpu,4,168.8085,0.8046875169902747,0.0047668661056183,168.23950000000002,169.3775,183.672125,0.2462499365482203,183.498,183.84625,5.981836410843465,0.0304234353535061,200
mobilenet_v3_small_dynamic_int8__builtin_cpu__1t,mobilenet_v3_small,dynamic_int8,builtin_cpu,1,354.58975,4.063389118088513,0.0114594094107021,351.7165,357.463,372.9518,6.048025720844741,368.6752,377.2284,2.8203020270561927,0.0438903748179673,200
mobilenet_v3_small_dynamic_int8__builtin_cpu__2t,mobilenet_v3_small,dynamic_int8,builtin_cpu,2,356.8505,0.031112698372236,8.718692666042521e-05,356.8285,356.8725,376.87895,5.966637730330221,372.6599,381.098,2.8054180306800083,0.0025176919503369,200
mobilenet_v3_small_dynamic_int8__builtin_cpu__4t,mobilenet_v3_small,dynamic_int8,builtin_cpu,4,359.982,3.372899346259819,0.0093696333323883,357.597,362.367,388.093275,7.236354021967781,382.9764,393.21015,2.768112965259985,0.020271214109664,200
mobilenet_v3_small_dynamic_int8__xnnpack_cpu__1t,mobilenet_v3_small,dynamic_int8,xnnpack_cpu,1,351.2605,3.9209071016794175,0.0111623911646183,348.488,354.033,366.637425,3.260787566102698,364.3317,368.94315,2.8587750437945108,0.0224055408855382,200
mobilenet_v3_small_dynamic_int8__xnnpack_cpu__2t,mobilenet_v3_small,dynamic_int8,xnnpack_cpu,2,352.2015,2.747816951690901,0.0078018320526485,350.2585,354.1445,384.587975,19.937688868352986,370.4899,398.6860499999999,2.8284733416519696,0.0477210803895455,200
mobilenet_v3_small_dynamic_int8__xnnpack_cpu__4t,mobilenet_v3_small,dynamic_int8,xnnpack_cpu,4,350.0325,0.5868986283848232,0.0016766975306145,349.6175,350.4475,371.2715,2.7949809739960214,369.29515,373.24785,2.8558316880368144,0.0129372746561711,200
mobilenet_v3_small_float16__builtin_cpu__1t,mobilenet_v3_small,float16,builtin_cpu,1,358.2685,1.185818072049855,0.0033098585894374,357.42999999999995,359.107,394.7742,35.77910815329249,369.47455,420.07385,2.776737591638109,0.0375607424952606,200
mobilenet_v3_small_float16__builtin_cpu__2t,mobilenet_v3_small,float16,builtin_cpu,2,358.57075,1.8020616318539493,0.0050256794003803,357.2965,359.845,376.13465,2.7129565873784323,374.2163,378.053,2.791148610993172,0.0135290440438958,200
